,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
686,c-200,FC Utrecht,n-122,"Jul 1, 1970",50.83m,"Stadion ""Galgenwaard""",30,25.6,5,8800000.0,13
687,c-317,Twente Enschede FC,n-122,"Jul 1, 1965",43.83m,De Grolsch Veste,24,25.4,4,-500000.0,10
688,c-499,Vitesse Arnhem,n-122,"May 14, 1892",39.68m,GelreDome,28,23.7,4,-1200000.0,13
689,c-306,SC Heerenveen,n-122,"Jul 20, 1920",36.20m,Abe Lenstra Stadion,26,24.7,2,4950000.0,12
690,c-202,FC Groningen,n-122,"Jun 16, 1971",34.15m,Euroborg,29,22.9,5,15970000.0,14
691,c-385,Fortuna Sittard,n-122,"Jul 1, 1968",22.53m,Fortuna Sittard Stadion,26,25.8,2,400000.0,18
692,c-467,NEC Nijmegen,n-122,"Nov 15, 1900",21.68m,Goffertstadion,27,24.2,1,-1000000.0,9
693,c-468,Sparta Rotterdam,n-122,"Apr 1, 1888",18.13m,"Sparta-stadion ""Het Kasteel""",24,26.1,1,2190000.0,9
694,c-133,SC Cambuur Leeuwarden,n-122,"Jun 19, 1964",16.73m,Cambuurstadion,30,25.8,5,-550000.0,12
695,c-798,Excelsior Rotterdam,n-122,"Jul 23, 1902",14.68m,Van Donge & De Roo Stadion - Woudestein,28,23.6,1,2630000.0,10
696,c-724,FC Volendam,n-122,"Jun 1, 1977",14.30m,Kras Stadion,32,22.7,0,0.0,13
697,c-235,RKC Waalwijk,n-122,"Aug 26, 1940",13.68m,Mandemakers Stadion,28,26.1,5,3000000.0,16
698,c-1283,FC Emmen,n-122,"Aug 21, 1925",13.58m,De Oude Meerdijk,30,25.8,3,0.0,14
699,c-1435,Go Ahead Eagles,n-122,"Dec 2, 1902",12.23m,De Adelaarshorst,27,23.4,0,750000.0,11
