,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
891,c-595,SC Bastia,n-50,,12.30m,Stade Armand-Cesari,25,27.6,6,480000.0,8
892,c-1159,AS Nancy-Lorraine,n-50,,7.50m,Stade Marcel-Picot,26,25.9,0,0.0,5
893,c-2969,Dijon FCO,n-50,,19.85m,Stade Gaston-Gérard,29,25.8,4,1500000.0,14
894,c-583,Paris Saint-Germain,n-50,,882.55m,Parc des Princes,27,25.1,13,-88200000.0,17
895,c-162,AS Monaco,n-50,,324.20m,Stade Louis-II,27,24.3,9,112700000.0,27
896,c-1041,Olympique Lyon,n-50,,231.80m,Groupama Stadium,23,25.2,2,46400000.0,10
897,c-244,Olympique Marseille,n-50,,259.20m,Orange Vélodrome,22,26.7,13,-77930000.0,16
898,c-417,OGC Nice,n-50,,235.60m,Allianz Riviera,27,24.4,13,-39600000.0,18
899,c-40,FC Girondins Bordeaux,n-50,,33.20m,Matmut Atlantique,26,22.7,6,12700000.0,13
900,c-273,Stade Rennais FC,n-50,,320.30m,Roazhon Park,28,24.5,11,14500000.0,14
901,c-415,FC Toulouse,n-50,,78.85m,Stadium Municipal,26,24.4,6,-3000000.0,23
902,c-618,AS Saint-Étienne,n-50,,39.00m,Stade Geoffroy-Guichard,29,25.1,3,12850000.0,8
903,c-995,FC Nantes,n-50,,123.80m,Stade de la Beaujoire,27,26.3,8,-12450000.0,12
904,c-1082,LOSC Lille,n-50,,220.90m,Decathlon Arena-Stade Pierre-Mauroy,23,26.0,8,75500000.0,15
905,c-969,Montpellier HSC,n-50,,115.40m,Stade de la Mosson,28,25.7,5,500000.0,12
906,c-2969,Dijon FCO,n-50,,19.85m,Stade Gaston-Gérard,29,25.8,4,1500000.0,14
907,c-1416,Amiens SC,n-50,,22.20m,Stade Crédit Agricole la Licorne,24,24.1,7,700000.0,10
908,c-1420,Angers SCO,n-50,,52.20m,Stade Raymond Kopa,31,25.0,6,31000000.0,15
909,c-1162,SM Caen,n-50,,23.55m,Stade Michel-d'Ornano,27,25.7,4,3050000.0,12
910,c-855,EA Guingamp,n-50,,21.55m,Stade du Roudourou,27,25.4,1,3700000.0,7
911,c-347,FC Metz,n-50,,25.25m,Stade Saint-Symphorien,21,25.0,7,14200000.0,14
912,c-667,RC Strasbourg Alsace,n-50,,98.55m,Stade de la Meinau,26,26.6,8,3900000.0,11
913,c-1095,ESTAC Troyes,n-50,,77.30m,Stade de l'Aube,27,25.4,4,-14800000.0,13
914,c-583,Paris Saint-Germain,n-50,,882.55m,Parc des Princes,27,25.1,13,-88200000.0,17
915,c-1041,Olympique Lyon,n-50,,231.80m,Groupama Stadium,23,25.2,2,46400000.0,10
916,c-162,AS Monaco,n-50,,324.20m,Stade Louis-II,27,24.3,9,112700000.0,27
917,c-1082,LOSC Lille,n-50,,220.90m,Decathlon Arena-Stade Pierre-Mauroy,23,26.0,8,75500000.0,15
918,c-244,Olympique Marseille,n-50,,259.20m,Orange Vélodrome,22,26.7,13,-77930000.0,16
919,c-417,OGC Nice,n-50,,235.60m,Allianz Riviera,27,24.4,13,-39600000.0,18
920,c-40,FC Girondins Bordeaux,n-50,,33.20m,Matmut Atlantique,26,22.7,6,12700000.0,13
921,c-273,Stade Rennais FC,n-50,,320.30m,Roazhon Park,28,24.5,11,14500000.0,14
922,c-618,AS Saint-Étienne,n-50,,39.00m,Stade Geoffroy-Guichard,29,25.1,3,12850000.0,8
923,c-995,FC Nantes,n-50,,123.80m,Stade de la Beaujoire,27,26.3,8,-12450000.0,12
924,c-415,FC Toulouse,n-50,,78.85m,Stadium Municipal,26,24.4,6,-3000000.0,23
925,c-969,Montpellier HSC,n-50,,115.40m,Stade de la Mosson,28,25.7,5,500000.0,12
926,c-667,RC Strasbourg Alsace,n-50,,98.55m,Stade de la Meinau,26,26.6,8,3900000.0,11
927,c-1160,Nîmes Olympique,n-50,,15.85m,Stade des Antonins,26,25.4,3,2500000.0,12
928,c-1421,Stade Reims,n-50,,95.10m,Stade Auguste-Delaune,25,24.6,7,8550000.0,16
929,c-1420,Angers SCO,n-50,,52.20m,Stade Raymond Kopa,31,25.0,6,31000000.0,15
930,c-855,EA Guingamp,n-50,,21.55m,Stade du Roudourou,27,25.4,1,3700000.0,7
931,c-1416,Amiens SC,n-50,,22.20m,Stade Crédit Agricole la Licorne,24,24.1,7,700000.0,10
932,c-1162,SM Caen,n-50,,23.55m,Stade Michel-d'Ornano,27,25.7,4,3050000.0,12
933,c-2969,Dijon FCO,n-50,,19.85m,Stade Gaston-Gérard,29,25.8,4,1500000.0,14
934,c-583,Paris Saint-Germain,n-50,,882.55m,Parc des Princes,27,25.1,13,-88200000.0,17
935,c-1041,Olympique Lyon,n-50,,231.80m,Groupama Stadium,23,25.2,2,46400000.0,10
936,c-162,AS Monaco,n-50,,324.20m,Stade Louis-II,27,24.3,9,112700000.0,27
937,c-1082,LOSC Lille,n-50,,220.90m,Decathlon Arena-Stade Pierre-Mauroy,23,26.0,8,75500000.0,15
938,c-244,Olympique Marseille,n-50,,259.20m,Orange Vélodrome,22,26.7,13,-77930000.0,16
939,c-417,OGC Nice,n-50,,235.60m,Allianz Riviera,27,24.4,13,-39600000.0,18
940,c-273,Stade Rennais FC,n-50,,320.30m,Roazhon Park,28,24.5,11,14500000.0,14
941,c-40,FC Girondins Bordeaux,n-50,,33.20m,Matmut Atlantique,26,22.7,6,12700000.0,13
942,c-995,FC Nantes,n-50,,123.80m,Stade de la Beaujoire,27,26.3,8,-12450000.0,12
943,c-618,AS Saint-Étienne,n-50,,39.00m,Stade Geoffroy-Guichard,29,25.1,3,12850000.0,8
944,c-667,RC Strasbourg Alsace,n-50,,98.55m,Stade de la Meinau,26,26.6,8,3900000.0,11
945,c-1420,Angers SCO,n-50,,52.20m,Stade Raymond Kopa,31,25.0,6,31000000.0,15
946,c-969,Montpellier HSC,n-50,,115.40m,Stade de la Mosson,28,25.7,5,500000.0,12
947,c-1421,Stade Reims,n-50,,95.10m,Stade Auguste-Delaune,25,24.6,7,8550000.0,16
948,c-415,FC Toulouse,n-50,,78.85m,Stadium Municipal,26,24.4,6,-3000000.0,23
949,c-1416,Amiens SC,n-50,,22.20m,Stade Crédit Agricole la Licorne,24,24.1,7,700000.0,10
950,c-347,FC Metz,n-50,,25.25m,Stade Saint-Symphorien,21,25.0,7,14200000.0,14
951,c-2969,Dijon FCO,n-50,,19.85m,Stade Gaston-Gérard,29,25.8,4,1500000.0,14
952,c-1160,Nîmes Olympique,n-50,,15.85m,Stade des Antonins,26,25.4,3,2500000.0,12
953,c-3911,Stade Brestois 29,n-50,,69.00m,Stade Francis-Le Blé,26,25.5,4,-3250000.0,9
954,c-583,Paris Saint-Germain,n-50,,882.55m,Parc des Princes,27,25.1,13,-88200000.0,17
955,c-1041,Olympique Lyon,n-50,,231.80m,Groupama Stadium,23,25.2,2,46400000.0,10
956,c-162,AS Monaco,n-50,,324.20m,Stade Louis-II,27,24.3,9,112700000.0,27
957,c-1082,LOSC Lille,n-50,,220.90m,Decathlon Arena-Stade Pierre-Mauroy,23,26.0,8,75500000.0,15
958,c-273,Stade Rennais FC,n-50,,320.30m,Roazhon Park,28,24.5,11,14500000.0,14
959,c-244,Olympique Marseille,n-50,,259.20m,Orange Vélodrome,22,26.7,13,-77930000.0,16
960,c-417,OGC Nice,n-50,,235.60m,Allianz Riviera,27,24.4,13,-39600000.0,18
961,c-618,AS Saint-Étienne,n-50,,39.00m,Stade Geoffroy-Guichard,29,25.1,3,12850000.0,8
962,c-969,Montpellier HSC,n-50,,115.40m,Stade de la Mosson,28,25.7,5,500000.0,12
963,c-1420,Angers SCO,n-50,,52.20m,Stade Raymond Kopa,31,25.0,6,31000000.0,15
964,c-667,RC Strasbourg Alsace,n-50,,98.55m,Stade de la Meinau,26,26.6,8,3900000.0,11
965,c-40,FC Girondins Bordeaux,n-50,,33.20m,Matmut Atlantique,26,22.7,6,12700000.0,13
