id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transfer_record,foreigners,season,market_value,league_id
c-430,ACF Fiorentina,n-75,,236300000.0,Artemio Franchi,26,26.5,9,11100000.0,14.0,,,
c-12,AS Roma,n-75,,317150000.0,Olimpico di Roma,28,26.2,17,58490000.0,19.0,,,
c-6195,SSC Napoli,n-75,,629000000.0,Stadio Diego Armando Maradona,27,26.2,20,4400000.0,19.0,,,
c-252,Genoa CFC,n-75,,52550000.0,Luigi Ferraris,31,26.4,5,10720000.0,20.0,,,
c-410,Udinese Calcio,n-75,,143050000.0,Dacia Arena,27,25.5,9,9300000.0,22.0,,,
c-1038,UC Sampdoria,n-75,,71450000.0,Luigi Ferraris,29,26.6,6,29600000.0,17.0,,,
c-458,Palermo FC,n-75,,30900000.0,"Comunale Renzo Barbera ""La Favorita""",28,25.6,4,-7940000.0,7.0,,,
c-398,SS Lazio,n-75,,274150000.0,Olimpico di Roma,26,27.2,9,2450000.0,16.0,,,
c-130,Parma Calcio 1913,n-75,,45950000.0,Ennio Tardini,30,24.9,6,-4370000.0,23.0,,,
c-1390,Cagliari Calcio,n-75,,32799999.999999996,Unipol Domus,28,25.9,4,29280000.0,12.0,,,
c-1429,Cesena FC,n-75,,6050000.0,Orogel Stadium - Dino Manuzzi,28,26.0,0,335000.0,4.0,,,
c-1025,Bologna FC 1909,n-75,,136100000.0,Stadio Renato Dallâ€™Ara,31,25.7,10,9280000.0,21.0,,,
c-1627,Catania SSD,n-75,,2520000.0,Cibali - Angelo Massimino,28,25.9,0,0.0,3.0,,,
c-332,SSC Bari,n-75,,31550000.0,San Nicola,28,27.8,1,-480000.0,7.0,,,
c-862,Chievo Verona,n-75,,,Marcantonio Bentegodi,0,,0,0.0,,,,
c-19,Brescia Calcio,n-75,,24030000.0,Mario Rigamonti,28,25.1,1,3650000.0,12.0,,,
c-1005,US Lecce,n-75,,94130000.0,Ettore Giardiniero,31,24.5,7,-3730000.0,19.0,,,
c-800,Atalanta BC,n-75,,329500000.0,Gewiss Stadium,25,26.6,13,6350000.0,17.0,,,
c-1387,ACN Siena,n-75,,4760000.0,Artemio Franchi,29,25.0,0,0.0,1.0,,,
c-6692,Novara FC,n-75,,5900000.0,Silvio Piola,27,27.4,0,-120000.0,10.0,,,
c-416,Torino FC,n-75,,169530000.0,Stadio Olimpico Grande Torino,28,24.6,17,22120000.0,23.0,,,
c-2921,Delfino Pescara 1936,n-75,,9380000.0,Adriatico,28,24.6,1,4600000.0,6.0,,,
c-6574,US Sassuolo,n-75,,171400000.0,Mapei Stadium - Cittأ  del Tricolore,26,25.9,8,21560000.0,15.0,,,
c-1210,US Livorno 1915,n-75,,1160000.0,Armando Picchi,28,23.8,0,0.0,3.0,,,
c-276,Hellas Verona,n-75,,84850000.0,Marcantonio Bentegodi,29,26.4,6,-5680000.0,18.0,,,
c-749,FC Empoli,n-75,,103300000.0,Carlo Castellani,30,25.3,9,16510000.0,14.0,,,
c-4102,AC Carpi,n-75,,1480000.0,Sandro Cabassi,25,23.6,1,0.0,6.0,,,
c-8970,Frosinone Calcio,n-75,,33500000.0,Benito Stirpe,29,25.4,3,-285000.0,11.0,,,
c-4083,FC Crotone,n-75,,8060000.000000001,Ezio Scida,25,27.0,1,3900000.0,6.0,,,
c-2722,SPAL,n-75,,16280000.000000002,Paolo Mazza,32,26.0,2,2750000.0,8.0,,,
c-4171,Benevento Calcio,n-75,,23240000.0,Ciro Vigorito,31,26.7,2,-1930000.0,16.0,,,
c-3522,Spezia Calcio,n-75,,86300000.0,Alberto Picco,29,25.8,10,23320000.0,22.0,,,
c-607,Venezia FC,n-75,,33030000.0,Pier Luigi Penzo,27,25.7,5,4830000.0,17.0,,,
c-380,US Salernitana 1919,n-75,,99680000.0,Arechi,27,26.9,12,-24100000.0,17.0,,,
c-2919,AC Monza,n-75,,111900000.0,U-Power Stadium - Brianteo,30,26.9,4,-46480000.0,9.0,,,
c-2239,US Cremonese,n-75,,64900000.00000001,Giovanni Zini,26,26.0,7,-33800000.0,12.0,,,
c-1041,Olympique Lyon,n-50,,231800000.0,Groupama Stadium,23,25.2,2,46400000.0,10.0,,,
c-244,Olympique Marseille,n-50,,259200000.0,Orange Vأ©lodrome,22,26.7,13,-77930000.0,16.0,,,
c-1082,LOSC Lille,n-50,,220900000.0,Decathlon Arena-Stade Pierre-Mauroy,23,26.0,8,75500000.0,15.0,,,
c-40,FC Girondins Bordeaux,n-50,,33200000.000000004,Matmut Atlantique,26,22.7,6,12700000.0,13.0,,,
c-273,Stade Rennais FC,n-50,,320300000.0,Roazhon Park,28,24.5,11,14500000.0,14.0,,,
c-583,Paris Saint-Germain,n-50,,882550000.0,Parc des Princes,27,25.1,13,-88200000.0,17.0,,,
c-415,FC Toulouse,n-50,,78850000.0,Stadium Municipal,26,24.4,6,-3000000.0,23.0,,,
c-162,AS Monaco,n-50,,324200000.0,Stade Louis-II,27,24.3,9,112700000.0,27.0,,,
c-618,AS Saint-أ‰tienne,n-50,,39000000.0,Stade Geoffroy-Guichard,29,25.1,3,12850000.0,8.0,,,
c-290,AJ Auxerre,n-50,,49900000.0,Stade de l'Abbأ©-Deschamps,33,25.7,10,-1250000.0,21.0,,,
c-417,OGC Nice,n-50,,235600000.0,Allianz Riviera,27,24.4,13,-39600000.0,18.0,,,
c-1158,FC Lorient,n-50,,87400000.0,Stade du Moustoir,26,24.6,7,9250000.0,12.0,,,
c-750,FC Sochaux-Montbأ©liard,n-50,,27050000.0,Stade Auguste-Bonal,25,26.2,4,4000000.0,11.0,,,
c-1423,Valenciennes FC,n-50,,17600000.0,Stade du Hainaut,28,25.0,4,-500000.0,8.0,,,
c-1159,AS Nancy-Lorraine,n-50,,7500000.0,Stade Marcel-Picot,26,25.9,0,0.0,5.0,,,
c-969,Montpellier HSC,n-50,,115400000.0,Stade de la Mosson,28,25.7,5,500000.0,12.0,,,
c-826,RC Lens,n-50,,184100000.0,Stade Bollaert-Delelis,30,25.7,13,13240000.0,18.0,,,
c-1162,SM Caen,n-50,,23550000.0,Stade Michel-d'Ornano,27,25.7,4,3050000.0,12.0,,,
c-3911,Stade Brestois 29,n-50,,69000000.0,Stade Francis-Le Blأ©,26,25.5,4,-3250000.0,9.0,,,
c-11300,Athlأ©tic Club Arlأ©sien,n-50,,,Parc des Sports,12,25.3,0,0.0,6.0,,,
