id,name,teams_number,market_value,players_number,avg_age,foreigners,country_id
promocion-de-ascenso-a-primera-rfef,Promoción 1ª Federación,,,,,,157
premier-league,Premier League,,,,,,189
championship,Championship,,,,,,189
league-one,League One,,,,,,189
league-two,League Two,,,,,,189
u18-premier-league,U18 Premier League,,,,,,189
national-league,National League,,,,,,189
fa-cup,FA Cup,,,,,,189
efl-cup,EFL Cup,,,,,,189
community-shield,Community Shield,,,,,,189
national-league-north,National League North,,,,,,189
national-league-south,National League South,,,,,,189
fa-youth-cup,FA Youth Cup,,,,,,189
championship-playoffs,Championship Play-Offs,,,,,,189
national-league-playoffs,National League Playoffs,,,,,,189
u18-premier-league-final-stage,U18 PL - Final Stage,,,,,,189
premier-league-2-playoffs,PL2 Playoffs,,,,,,189
league-two-playoffs,League Two Play-Offs,,,,,,189
league-one-playoffs,League One Play-Offs,,,,,,189
premier-league-2,Premier League 2,,,,,,189
efl-trophy,EFL Trophy,,,,,,189
national-league-south-playoff,NL South Play-offs,,,,,,189
national-league-north-playoff,NL North Play-offs,,,,,,189
campionato-nazionale-under-17-2020-21,Under 17 20/21,,,,,,75
bundesliga,Bundesliga,,,,,,40
2-bundesliga,2. Bundesliga,,,,,,40
3-liga,3. Liga,,,,,,40
regionalliga-bayern,Regionalliga Bayern,,,,,,40
regionalliga-nord,Regionalliga Nord,,,,,,40
regionalliga-nordost,Regionalliga Northeast,,,,,,40
regionalliga-sudwest,Regionalliga Südwest,,,,,,40
regionalliga-west,Regionalliga West,,,,,,40
a-junioren-bundesliga-nord-nordost,U19-BL N/NE,,,,,,40
a-junioren-bundesliga-west,U19-Bundesliga West,,,,,,40
a-junioren-bundesliga-sud-sudwest,U19-Bundesliga S/SW,,,,,,40
b-junioren-bundesliga-nord-nordost,U17-BL N/NE,,,,,,40
b-junioren-bundesliga-west,U17-Bundesliga West,,,,,,40
b-junioren-bundesliga-sud-sudwest,U17-Bundesliga South/Southwest,,,,,,40
oberliga-baden-wurttemberg,Oberliga Baden-Württemberg,,,,,,40
hessenliga,Hessenliga,,,,,,40
oberliga-hamburg,Oberliga Hamburg,,,,,,40
